model,dataset,recall@1,recall@5,recall@10,flops,sparsity,memory
TAT-VPR-SALAD,SVOX-snow,94.48275862068964,97.816091954023,98.85057471264368,22935760827.0,0.5,32.46039009094238
TAT-VPR-SALAD,SVOX-overcast,96.3302752293578,98.62385321100918,98.85321100917432,22935760827.0,0.5,32.46039009094238
TAT-VPR-SALAD,SVOX-rain,90.2881536819637,96.58484525080044,97.75880469583778,22935760827.0,0.5,32.46039009094238
TAT-VPR-BoQ,SVOX-night,61.482381530984206,78.00729040097205,83.71810449574727,27932313600.4,0.4,
TAT-VPR-BoQ,SVOX-sun,92.7400468384075,97.30679156908664,98.24355971896956,27932313600.4,0.4,
TAT-VPR-BoQ,SVOX-snow,97.01149425287356,98.85057471264368,99.19540229885058,27932313600.4,0.4,
TAT-VPR-BoQ,SVOX-overcast,97.70642201834865,98.73853211009175,99.08256880733946,27932313600.4,0.4,
TAT-VPR-BoQ,SVOX-rain,94.23692636072572,98.71931696905015,99.2529348986126,27932313600.4,0.4,
TAT-VPR-MixVPR,SVOX-night,35.236938031591734,53.58444714459295,62.08991494532199,25345555046.8,0.4,
TAT-VPR-MixVPR,SVOX-sun,82.20140515222482,92.97423887587824,94.37939110070258,25345555046.8,0.4,
TAT-VPR-MixVPR,SVOX-snow,90.57471264367815,96.32183908045975,98.04597701149426,25345555046.8,0.4,
TAT-VPR-MixVPR,SVOX-overcast,93.46330275229356,97.93577981651376,98.5091743119266,25345555046.8,0.4,
TAT-VPR-MixVPR,SVOX-rain,87.51334044823906,95.9445037353255,97.33191035218783,25345555046.8,0.4,
TAT-VPR-CLS,SVOX-night,20.048602673147023,35.722964763061974,45.078979343863914,25119652659.6,0.4,
TAT-VPR-CLS,SVOX-sun,66.51053864168618,83.72365339578455,88.52459016393442,25119652659.6,0.4,
TAT-VPR-CLS,SVOX-snow,78.73563218390804,92.06896551724138,95.28735632183908,25119652659.6,0.4,
TAT-VPR-CLS,SVOX-overcast,89.6788990825688,96.10091743119266,97.47706422018348,25119652659.6,0.4,
TAT-VPR-CLS,SVOX-rain,75.2401280683031,88.47385272145144,91.46211312700106,25119652659.6,0.4,
